aRef,first,firstCount,second,secondCount
25672015,30516373,1,25390186,1
25672022,30516335,6,30520684,5
25672039,25634754,4,30398146,3
25672046,30516267,23,30519626,15
25672077,25672084,87,30519633,36
25672084,25672077,87,30519633,43
25672091,,,,
25672121,25667219,1,30519527,1
25672138,30519503,5,30265387,4
25672145,30521162,9,25667707,4
25672152,30506923,6,30519503,5
25672169,30506923,11,30400016,10
25672183,,,,
25672206,30512009,12,30517325,10
25672213,30517363,7,25663907,7
25672220,30517363,2,30520165,1
25672237,30265660,1,30377820,1
25672244,30400238,1,30524422,1
25672251,30472716,4,30398511,2
25672268,30520370,1,30473034,1
25672282,,,,
25672299,,,,
25672305,,,,
25672312,,,,
25672565,25672589,5,30519237,5
25672572,24086257,4,30519183,3
25672589,25666854,6,30519213,6
25672596,30398016,15,25666885,10
25672602,30519183,8,30398016,6
25672619,30519244,10,25666854,9
25672626,30519183,7,25672602,5
25672633,30472730,2,30293731,2
25672640,25442533,5,30293809,4
25672657,,,,
25672664,25663662,3,30508163,3
25672671,25289756,4,30508156,3
25672688,30293687,7,30293632,4
25672701,30265165,1,25668254,1
25672718,30474567,2,30265165,1
25672725,25663792,2,,
25672732,30516403,4,30516168,4
25672749,25664904,4,25241082,3
25672756,25670059,3,30516250,3
25672763,30472945,5,30519244,4
25672770,,,,
25672787,25633887,1,,
25672794,,,,
25672800,30516267,9,25672084,7
25672817,25381580,2,30472921,1
25672824,30398818,6,30516267,5
25672831,30519169,2,30398528,2
25672848,,,,
25672855,25663778,2,30516250,2
25672862,30516182,5,30524309,4
25672886,30398108,4,30397873,4
25672893,30397873,16,30397958,13
25672909,30397873,9,30516045,8
28384284,,,,
30265103,30265226,23,25670202,13
30265110,30265226,36,25666199,29
30265127,,,,
30265134,30397897,12,30265165,7
30265141,30265110,19,25666199,16
30265158,,,,
30265165,30516199,28,30397897,18
30265172,25381658,9,30265226,8
30265189,30397873,31,25666120,19
30265196,30571433,3,25056372,2
30265226,30397941,39,30397903,37
30265233,30397873,21,25666120,15
30265240,24833844,1,25670028,1
30265257,30518940,2,30400269,1
30265264,24816427,1,25672817,1
30265271,30516182,6,25289206,4
30265288,25389951,2,30472990,1
30265295,25672084,5,30516236,4
30265318,30265325,27,30265363,11
30265325,30265318,27,30506909,20
30265332,30506862,9,30265325,4
30265349,30520295,1,25672213,1
30265363,30506923,12,30265318,11
30265370,30506923,39,30506909,32
30265387,25672138,4,30265455,4
30265394,30517318,16,30517264,10
30265400,25672213,6,30517417,6
30265417,25635713,4,25664126,3
30265424,30524408,5,30294363,5
30265431,30265370,12,30517325,9
30265448,30403802,6,30472754,6
30265455,25309874,8,25635744,8
30265462,25634518,6,30517318,5
30265479,30507005,7,25664126,5
30265486,30506923,20,30517325,14
30265493,30473836,2,30400429,1
30265509,30519336,1,,
30265516,30398481,1,30473218,1
30265523,25389951,8,25439076,6
30265530,21051012,4,30516342,3
30265547,30293632,1,,
30265554,25664744,2,30400542,2
30265578,,,,
30265592,30524347,4,30397989,2
30265608,30520165,2,30510708,2
30265615,30472730,6,30265660,3
30265622,30265639,10,30472730,10
30265639,30265622,10,30472730,7
30265646,30515246,2,30516113,2
30265653,30267756,2,30512368,2
30265660,30516113,5,30265615,3
30265677,30265660,2,30399877,1
30265684,30268869,4,30265622,3
30265691,30293632,4,25666908,3
30265714,30400207,3,30508262,3
30265721,30571112,3,30377820,2
30265738,30510654,4,30522206,2
30265745,30472853,1,30265615,1
30265752,30398597,5,30510814,4
30265769,25670257,1,,
30265776,30398177,2,30473225,2
30265783,30515178,1,30398559,1
30265790,25663662,2,30400030,2
30265806,30520479,4,30515185,4
30267718,,,,
30267725,,,,
30267732,30400047,4,30470781,3
30267749,30470842,5,30508422,5
30267756,30508460,7,25389883,5
30267794,25668711,3,30519626,2
30267831,30520028,6,25634303,5
30267855,30267831,5,30519565,5
30267862,30267909,1,25385496,1
30267909,30403888,2,30515604,1
30267947,,,,
30267954,,,,
30268159,,,,
30268180,,,,
30268203,30399976,1,,
30268227,,,,
30268258,30473034,3,30517349,2
30268265,30380851,5,25670264,5
30268517,25635973,1,,
30268524,30400245,2,30520295,1
30268531,30564954,1,,
30268548,30508521,7,25671841,4
30268555,30520356,1,30470927,1
30268562,30477018,1,30473232,1
30268579,30265295,1,30477230,1
30268586,30508521,6,30268630,4
30268593,30508491,4,30268630,4
30268609,30268593,4,30268630,4
30268616,30519503,2,30517264,2
30268623,21051043,1,25670318,1
30268630,30470781,4,30268593,4
30268647,30400429,1,30518995,1
30268654,30524347,2,25663662,1
30268661,,,,
30268678,21000461,2,30548367,1
30268692,25672251,2,30398481,1
30268708,30518421,8,30512283,6
30268715,25668704,4,30512351,1
